year_month,forecast_sentiment,lower_bound,upper_bound,model_used
2026-09,0.44098881739164264,-0.3821723026009372,1.2668217901651582,Prophet
2026-10,0.8245828874711791,0.05611178432380154,1.632770818551414,Prophet
2026-11,0.3978098016782382,-0.43417386318578355,1.185778900021545,Prophet
2026-12,0.7993487714625298,-0.016295325474796476,1.5584978480151552,Prophet
2027-01,0.4545654391637012,-0.3972344362953644,1.2236629338521874,Prophet
2027-02,1.0905122904732205,0.3048063246886737,1.855053630939223,Prophet
2027-03,0.9358145426010551,0.12071218436604027,1.753110249962997,Prophet
2027-04,0.439071033015342,-0.3485521985041139,1.121326633835799,Prophet
2027-05,0.4584853107171971,-0.28402814809143045,1.2616895231259773,Prophet
2027-06,0.722350646799688,-0.0713875362281445,1.5280513230556194,Prophet
2027-07,0.7023841870908086,-0.07131958784466542,1.519900686642989,Prophet
2027-08,0.9793460007221775,0.15390401762884948,1.7733348710711085,Prophet
