year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity,tourist_arrivals,usd_lkr_rate,inflation_rate
2018-01,,,,,238924.0,,2.135037737132
2018-01,,,,,238924.0,153.9,2.135037737132
2018-01,,,,,238924.0,153.9,2.135037737132
2018-01,,,,,238924.0,153.65,2.135037737132
2018-01,,,,,238924.0,153.65,2.135037737132
2018-01,,,,,238924.0,153.7,2.135037737132
2018-01,,,,,238924.0,153.7,2.135037737132
2018-01,,,,,238924.0,154.1,2.135037737132
2018-01,,,,,238924.0,153.75,2.135037737132
2018-01,,,,,238924.0,153.75,2.135037737132
2018-01,,,,,238924.0,153.9,2.135037737132
2018-01,,,,,238924.0,154.0,2.135037737132
2018-01,,,,,238924.0,,2.135037737132
2018-01,,,,,238924.0,153.4,2.135037737132
2018-01,,,,,238924.0,153.85,2.135037737132
2018-01,,,,,238924.0,153.6,2.135037737132
2018-01,,,,,238924.0,153.45,2.135037737132
2018-01,,,,,238924.0,153.7,2.135037737132
2018-01,,,,,238924.0,153.6,2.135037737132
2018-01,,,,,238924.0,153.75,2.135037737132
2018-01,,,,,238924.0,153.7,2.135037737132
2018-01,,,,,238924.0,153.9,2.135037737132
2018-01,,,,,238924.0,153.7,2.135037737132
2018-02,,,,,235618.0,155.1,2.135037737132
2018-02,,,,,235618.0,154.95,2.135037737132
2018-02,,,,,235618.0,154.8,2.135037737132
2018-02,,,,,235618.0,154.8,2.135037737132
2018-02,,,,,235618.0,155.1,2.135037737132
2018-02,,,,,235618.0,155.15,2.135037737132
2018-02,,,,,235618.0,155.4,2.135037737132
2018-02,,,,,235618.0,,2.135037737132
2018-02,,,,,235618.0,154.85,2.135037737132
2018-02,,,,,235618.0,155.15,2.135037737132
2018-02,,,,,235618.0,154.85,2.135037737132
2018-02,,,,,235618.0,154.05,2.135037737132
2018-02,,,,,235618.0,154.2,2.135037737132
2018-02,,,,,235618.0,154.2,2.135037737132
2018-02,,,,,235618.0,154.65,2.135037737132
2018-02,,,,,235618.0,155.5,2.135037737132
2018-02,,,,,235618.0,154.3,2.135037737132
2018-02,,,,,235618.0,154.3,2.135037737132
2018-02,,,,,235618.0,154.85,2.135037737132
2018-02,,,,,235618.0,154.5,2.135037737132
2018-03,,,,,233382.0,155.6,2.135037737132
2018-03,,,,,233382.0,155.95,2.135037737132
2018-03,,,,,233382.0,155.6,2.135037737132
2018-03,,,,,233382.0,156.0,2.135037737132
2018-03,,,,,233382.0,156.0,2.135037737132
2018-03,,,,,233382.0,156.1,2.135037737132
2018-03,,,,,233382.0,156.1,2.135037737132
2018-03,,,,,233382.0,156.0,2.135037737132
2018-03,,,,,233382.0,156.05,2.135037737132
2018-03,,,,,233382.0,156.0,2.135037737132
2018-03,,,,,233382.0,155.6,2.135037737132
2018-03,,,,,233382.0,155.95,2.135037737132
2018-03,,,,,233382.0,155.65,2.135037737132
2018-03,,,,,233382.0,155.6,2.135037737132
2018-03,,,,,233382.0,155.4,2.135037737132
2018-03,,,,,233382.0,155.35,2.135037737132
2018-03,,,,,233382.0,155.3,2.135037737132
2018-03,,,,,233382.0,155.0,2.135037737132
2018-03,,,,,233382.0,154.9,2.135037737132
2018-03,,,,,233382.0,155.15,2.135037737132
2018-03,,,,,233382.0,154.95,2.135037737132
2018-03,,,,,233382.0,155.8,2.135037737132
2018-04,,,,,180429.0,156.05,2.135037737132
2018-04,,,,,180429.0,156.3,2.135037737132
2018-04,,,,,180429.0,156.75,2.135037737132
2018-04,,,,,180429.0,156.85,2.135037737132
2018-04,,,,,180429.0,156.3,2.135037737132
2018-04,,,,,180429.0,157.5,2.135037737132
2018-04,,,,,180429.0,157.6,2.135037737132
2018-04,,,,,180429.0,157.6,2.135037737132
2018-04,,,,,180429.0,157.6,2.135037737132
2018-04,,,,,180429.0,156.3,2.135037737132
2018-04,,,,,180429.0,155.45,2.135037737132
2018-04,,,,,180429.0,155.6,2.135037737132
2018-04,,,,,180429.0,155.6,2.135037737132
2018-04,,,,,180429.0,155.6,2.135037737132
2018-04,,,,,180429.0,155.45,2.135037737132
2018-04,,,,,180429.0,155.8,2.135037737132
2018-04,,,,,180429.0,155.4,2.135037737132
2018-04,,,,,180429.0,155.4,2.135037737132
2018-04,,,,,180429.0,155.85,2.135037737132
2018-04,,,,,180429.0,155.75,2.135037737132
2018-04,,,,,180429.0,155.15,2.135037737132
2018-05,,,,,129466.0,157.65,2.135037737132
2018-05,,,,,129466.0,157.7,2.135037737132
2018-05,,,,,129466.0,157.8,2.135037737132
2018-05,,,,,129466.0,157.75,2.135037737132
2018-05,,,,,129466.0,158.0,2.135037737132
2018-05,,,,,129466.0,157.9,2.135037737132
2018-05,,,,,129466.0,,2.135037737132
2018-05,,,,,129466.0,157.85,2.135037737132
2018-05,,,,,129466.0,157.7,2.135037737132
2018-05,,,,,129466.0,157.9,2.135037737132
2018-05,,,,,129466.0,158.0,2.135037737132
2018-05,,,,,129466.0,158.15,2.135037737132
2018-05,,,,,129466.0,157.95,2.135037737132
2018-05,,,,,129466.0,157.55,2.135037737132
2018-05,,,,,129466.0,157.45,2.135037737132
2018-05,,,,,129466.0,157.65,2.135037737132
2018-05,,,,,129466.0,157.43,2.135037737132
2018-05,,,,,129466.0,158.0,2.135037737132
2018-05,,,,,129466.0,157.45,2.135037737132
2018-05,,,,,129466.0,157.85,2.135037737132
2018-05,,,,,129466.0,157.7,2.135037737132
2018-05,,,,,129466.0,157.7,2.135037737132
2018-05,,,,,129466.0,157.43,2.135037737132
2018-06,,,,,146828.0,159.8,2.135037737132
2018-06,,,,,146828.0,158.2,2.135037737132
2018-06,,,,,146828.0,158.25,2.135037737132
2018-06,,,,,146828.0,158.25,2.135037737132
2018-06,,,,,146828.0,158.8,2.135037737132
2018-06,,,,,146828.0,158.9,2.135037737132
2018-06,,,,,146828.0,159.4,2.135037737132
2018-06,,,,,146828.0,159.8,2.135037737132
