year_month,article_count,mean_sentiment,std_sentiment,sentiment_intensity
2020-02,8,0.2639956921339035,0.7832855463498862,0.5800578230674989
2020-03,50,-0.1479393148422241,0.6283758356435967,-0.581671590184331
2020-04,45,-0.2510949479209052,0.5526629227206161,-0.9613525120592511
2020-05,38,-0.18011734516997085,0.6166224947072773,-0.6598709975674001
2020-06,51,-0.16418196991378187,0.7139892165258925,-0.6487229773261555
2020-07,35,0.15952750614711217,0.6267219084476369,0.57166983948285
2020-08,40,0.3558568373322487,0.6285958256726825,1.3215000108627775
2020-09,43,0.01719791667405949,0.6606225835396025,0.06508017800296594
2020-10,46,-0.20877294566320337,0.5993812023024634,-0.8038066560471268
2020-11,29,-0.05510297520407315,0.55699915735243,-0.1874160949858883
2020-12,32,0.18082579411566257,0.400330300463778,0.6322587564335952
2021-01,35,0.19793156555720737,0.5327370511130503,0.7092915136925196
2021-02,28,0.2840129349912916,0.5327661162739702,0.9563555716583958
2021-03,28,0.0006608473403113228,0.45513210272064836,0.00222526849328797
2021-04,24,0.05241764088471731,0.6618748478784328,0.16872587704043954
2021-05,25,-0.09610731720924377,0.546100184999528,-0.31312691747796956
2021-06,25,0.044758808612823484,0.5789539899486487,0.1458285193874063
2021-07,42,0.07541727452051072,0.6187151977331495,0.2836594616518381
2021-08,40,-0.05700003057718277,0.6270686741510614,-0.21167372135271736
2021-09,29,-0.15088709777799145,0.6847537056732798,-0.5131968018891061
2021-10,40,-0.02648145854473114,0.5976226083280546,-0.09834080473730168
2021-11,38,-0.0992826709621831,0.5765130315778769,-0.3637281854623636
2021-12,29,0.02404144098018778,0.6213530484406916,0.08176968611319992
2022-01,32,0.08316962420940399,0.5964166241240553,0.2908032199325067
2022-02,29,-0.07954616073904366,0.5752400521225761,-0.27055219362691224
2022-03,24,0.025965722898642223,0.6578444594209254,0.0835804377136661
2022-04,12,-0.09874507288138072,0.7469214190764132,-0.2532761112395901
2022-05,17,-0.45161401173647714,0.6131042803353524,-1.3053323849933005
2022-06,44,-0.23089465634389358,0.7623435279311556,-0.8789380273927083
2022-07,22,-0.16999578205021945,0.7319010285580261,-0.5330207913508155
2022-08,43,0.05685456755549409,0.6270740284770024,0.21514846518440622
2022-09,54,-0.0901889972112797,0.6642778347581713,-0.3614173614675999
2022-10,46,0.01483821091444596,0.6640673711992582,0.05712930216592212
2022-11,26,-0.3501790532698998,0.6533970417446995,-1.1541330334694295
2022-12,54,-0.0035780712410255714,0.6813691009330822,-0.014338523623287703
2023-01,36,-0.1459552397330602,0.7068328547728058,-0.5270323895963891
2023-02,50,-0.008534936904907227,0.7187674435912143,-0.03355788369639906
2023-03,41,7.324393202618854e-05,0.6528686313215813,0.0002737616194578971
2023-04,40,-0.06922125667333603,0.7119412198547436,-0.25705812520426985
2023-05,48,0.033837868521610893,0.6716826987025402,0.1316909035572039
2023-06,40,0.03442355990409851,0.6373977134336599,0.12783437049638266
2023-07,81,-0.05985366930196315,0.6146694478281471,-0.2637583165323506
2023-08,117,0.008066874029289963,0.6058009947886562,0.03848451189903501
2023-09,130,-0.04216406987263606,0.6552292493126141,-0.20555816057834161
2023-10,155,0.11306535178615201,0.6355506785654157,0.570963745929082
2023-11,191,0.03642968279528992,0.6446331027529332,0.19152888870067686
2023-12,107,0.13164390526085257,0.6263038835525263,0.6163740396824202
2024-01,139,-0.03152687408083634,0.6292119107590308,-0.15579453841012256
2024-02,118,0.1483156554779764,0.5838065394478942,0.7088188334910327
2024-03,136,0.09504048723508329,0.6345706148894901,0.46759738437802123
2024-04,139,0.1214110834135426,0.6290085963927436,0.599970160371319
2024-05,136,0.01969772029448958,0.6027430368705129,0.09691240813118629
2024-06,133,0.12024561086095366,0.6546893944833342,0.5889437386441884
2024-07,147,0.1437138505533439,0.6068841559010829,0.7181686178950718
2024-08,113,0.06273126101071856,0.6251299660454948,0.2971077010647954
2024-09,104,0.13802941286793122,0.6019705435881134,0.6423834146428745
2024-10,105,0.08328481997762407,0.6057293903811107,0.3883936854297378
2024-11,94,0.13821787212757355,0.6840520908218359,0.6294271738879557
2024-12,113,0.03458137955285807,0.6707587394990913,0.16378427618158753
2025-01,133,-0.005674848431035092,0.702365666149021,-0.027794498504212655
2025-02,125,0.19892770171165466,0.6437063536491353,0.962070444579516
2025-03,132,0.1679045415737412,0.6425061524969455,0.8211118285096185
2025-04,144,-0.002258700215154224,0.6849321708376616,-0.011240949574770637
2025-05,130,0.08770169661595272,0.7190302482727071,0.42756307658229215
2025-06,102,0.09695125327390783,0.6597189627257561,0.449342783993774
2025-07,157,0.1191380707321653,0.6455529463615598,0.6031478051330755
2025-08,111,0.23331298377062823,0.6789440377301553,1.1008870505802
2025-09,106,0.11737040191326502,0.6440129528611257,0.5484517983726876
2025-10,101,0.05676461741475776,0.7105468123558976,0.2625348122997375
2025-11,136,0.17048225486103227,0.6335042987459203,0.838769442108448
2025-12,131,0.008063886001819873,0.7053363248824316,0.0393743580732034
2026-01,118,0.12459196276583914,0.7074104779572303,0.5954403763070988
2026-02,86,0.19114457486673844,0.6697733499001322,0.8536341087341461
2026-03,74,0.20490734883256861,0.6346650221701022,0.8846850429608533
2026-04,62,-0.0006950113081162976,0.7608798492148087,-0.0028795254858914377
2026-05,81,0.04204466460663595,0.7429453086791684,0.18527903276683277
2026-06,75,0.1405046308040619,0.7074792315551067,0.6084880890877726
2026-07,82,0.3149069751181254,0.6087703545325522,1.3915237293303653
2026-08,75,0.2794134255250295,0.6084664571930886,1.210065037644857
